id,text,sentiment,text_original,tokens
29650,سي المهدي فهمتكش ملي وقع المشكل غادي يمشي القضاء اكيد بلاد العالم يمكن للنصابه يديروا هده العمليه الضخمه لعنه الله عليهم جميعا المقدم وزيد القدام النوطير نصب عليا باقي باغي تيق؟ طفروه,négatif,سي المهدي فهمتكش ملي وقع المشكل غادي يمشي القضاء اكيد بلاد العالم يمكن للنصابه يديروا هده العمليه الضخمه لعنه الله عليهم جميعا المقدم وزيد القدام النوطير نصب عليا باقي باغي تيق؟ طفروه,"['سي', 'المهدي', 'فهمتكش', 'ملي', 'وقع', 'المشكل', 'غادي', 'يمشي', 'القضاء', 'اكيد', 'بلاد', 'العالم', 'يمكن', 'للنصابه', 'يديروا', 'هده', 'العمليه', 'الضخمه', 'لعنه', 'الله', 'عليهم', 'جميعا', 'المقدم', 'وزيد', 'القدام', 'النوطير', 'نصب', 'عليا', 'باقي', 'باغي', 'تيق؟', 'طفروه']"
29651,هدشي فلوراق ماشي فالواقع,neutre,هدشي فلوراق ماشي فالواقع,"['هدشي', 'فلوراق', 'ماشي', 'فالواقع']"
29652,oui ma3ndha dakhel,neutre,oui ma3ndha dakhel,"['oui', 'ma3ndha', 'dakhel']"
29653,حيت ملف معروض قدام القضاء يمكن للحكومه التدخل,neutre,حيت ملف معروض قدام القضاء يمكن للحكومه التدخل,"['حيت', 'ملف', 'معروض', 'قدام', 'القضاء', 'يمكن', 'للحكومه', 'التدخل']"
29654,اكبر عمليه نصب المغرب قضيت النجاه تنصب علي جيل كامل بمباركه الحكومه,négatif,اكبر عمليه نصب المغرب قضيت النجاه تنصب علي جيل كامل بمباركه الحكومه,"['اكبر', 'عمليه', 'نصب', 'المغرب', 'قضيت', 'النجاه', 'تنصب', 'علي', 'جيل', 'كامل', 'بمباركه', 'الحكومه']"
29655,dima houma machafou walloudawla fachila,négatif,dima houma machafou walloudawla fachila,"['dima', 'houma', 'machafou', 'walloudawla', 'fachila']"
29656,aslan hdak l3atmani bhal mar3od lah ya3tih darba kay3raf tay hdar ghalk rais hokoma tfo 3lik l3atmani man,négatif,aslan hdak l3atmani bhal mar3od lah ya3tih darba kay3raf tay hdar ghalk rais hokoma tfo 3lik l3atmani man,"['aslan', 'hdak', 'l3atmani', 'bhal', 'mar3od', 'lah', 'ya3tih', 'darba', 'kay3raf', 'tay', 'hdar', 'ghalk', 'rais', 'hokoma', 'tfo', '3lik', 'l3atmani', 'man']"
29657,الشفاره كيدفعو علي الشفاره عادي,négatif,الشفاره كيدفعو علي الشفاره عادي,"['الشفاره', 'كيدفعو', 'علي', 'الشفاره', 'عادي']"
29658,waakliin ahbibi,neutre,waakliin ahbibi,"['waakliin', 'ahbibi']"
29659,حيت ريوس كبار طبقه حاكمه يمكن تنصب وتفلت كيف والو شس امير ولا جنرال مو حصيصه وقدمو هذاك واجهه,négatif,حيت ريوس كبار طبقه حاكمه يمكن تنصب وتفلت كيف والو شس امير ولا جنرال مو حصيصه وقدمو هذاك واجهه,"['حيت', 'ريوس', 'كبار', 'طبقه', 'حاكمه', 'يمكن', 'تنصب', 'وتفلت', 'كيف', 'والو', 'شس', 'امير', 'ولا', 'جنرال', 'مو', 'حصيصه', 'وقدمو', 'هذاك', 'واجهه']"
29660,aslan tl9ah 5da ha9o rahem kamlin nesaba lmoxkila xa3b saket wesabar,négatif,aslan tl9ah 5da ha9o rahem kamlin nesaba lmoxkila xa3b saket wesabar,"['aslan', 'tl9ah', '5da', 'ha9o', 'rahem', 'kamlin', 'nesaba', 'lmoxkila', 'xa3b', 'saket', 'wesabar']"
29661,نفس الملاحظه,neutre,نفس الملاحظه,"['نفس', 'الملاحظه']"
29662,هاذ البلان زوين كنعيش ميونخ الڤيديوات كتپوصطي update كنعرف ضاير بالخصوص القوانين فبلاد عفط عليا نعفط عليك,négatif,هاذ البلان زوين كنعيش ميونخ الڤيديوات كتپوصطي update كنعرف ضاير بالخصوص القوانين فبلاد عفط عليا نعفط عليك,"['هاذ', 'البلان', 'زوين', 'كنعيش', 'ميونخ', 'الڤيديوات', 'كتپوصطي', 'update', 'كنعرف', 'ضاير', 'بالخصوص', 'القوانين', 'فبلاد', 'عفط', 'عليا', 'نعفط', 'عليك']"
29663,وحتاهي ربا حيت ماشراها حتي ضمن بانك غادي تشريها وهنا الموشكيل اما فالحقيقه خاص البنك شاري البرطمات وكاتبها بسميتو وديك الساعه يفرعك حلال,neutre,وحتاهي ربا حيت ماشراها حتي ضمن بانك غادي تشريها وهنا الموشكيل اما فالحقيقه خاص البنك شاري البرطمات وكاتبها بسميتو وديك الساعه يفرعك حلال,"['وحتاهي', 'ربا', 'حيت', 'ماشراها', 'حتي', 'ضمن', 'بانك', 'غادي', 'تشريها', 'وهنا', 'الموشكيل', 'اما', 'فالحقيقه', 'خاص', 'البنك', 'شاري', 'البرطمات', 'وكاتبها', 'بسميتو', 'وديك', 'الساعه', 'يفرعك', 'حلال']"
29664,وامي كرشي,neutre,وامي كرشي,"['وامي', 'كرشي']"
29665,البنك الاسلامي اصله انشاه الناس اسسوه قالو البيع بالعقود التجاريه للسلع حلال وبيع المال بالمال حرام وفعلا علي اي منعش عقاري بنك رجل اعمال مال ويريد يقرض الناس وبطريقه حلال فعليه اما يقرضهم المال بدون فاءده يقرضهم مواد معينه كمواد البناء مثلا لمن اراد يبني بيت فاذا كنت تملك ارضا فانه يشتري مواد البناء ويبني ويجهز وانت تدفع الاصل ثمن المواد يربح هامش الربح علي ماده بالاضافه انك تدفع اجر العمال ووفهذا البنك الاسلامي الحقيقي وقع الناس يريدون شقق وليس اراضي فالبنك مضطر يتعامل المنعش العقاري كشريك الحاله فعقد المال المقترض البنك وعقد الشقه المنعش العقاري وبما انك تملك مال لتدفعه مباشره للمنعش فانت تعقد البنك والبنك يعقد المنعش شغلهم هذاك شركاء زلنا بنك اسلامي السؤال البنك يراقب المنعش العقاري ليتاكد الحسابات وهامش الربح الخاص واجر العمال وثمن الارضليكون صادق الزبون ويحترم الصفه الاسلاميه انه يتعامل بعشواءيه ويستغل حاجه الناس للسكن وباختصار الله حلل البيع وحرم الربا، والسكن مادام انه شيء مادي يباع ويشتري فهو يدخل البيع وليس ربا لان الربا قرض مالي دون مقابل مادي وتضاف فاءده ماليه معينه استرداده,neutre,البنك الاسلامي اصله انشاه الناس اسسوه قالو البيع بالعقود التجاريه للسلع حلال وبيع المال بالمال حرام وفعلا علي اي منعش عقاري بنك رجل اعمال مال ويريد يقرض الناس وبطريقه حلال فعليه اما يقرضهم المال بدون فاءده يقرضهم مواد معينه كمواد البناء مثلا لمن اراد يبني بيت فاذا كنت تملك ارضا فانه يشتري مواد البناء ويبني ويجهز وانت تدفع الاصل ثمن المواد يربح هامش الربح علي ماده بالاضافه انك تدفع اجر العمال ووفهذا البنك الاسلامي الحقيقي وقع الناس يريدون شقق وليس اراضي فالبنك مضطر يتعامل المنعش العقاري كشريك الحاله فعقد المال المقترض البنك وعقد الشقه المنعش العقاري وبما انك تملك مال لتدفعه مباشره للمنعش فانت تعقد البنك والبنك يعقد المنعش شغلهم هذاك شركاء زلنا بنك اسلامي السؤال البنك يراقب المنعش العقاري ليتاكد الحسابات وهامش الربح الخاص واجر العمال وثمن الارضليكون صادق الزبون ويحترم الصفه الاسلاميه انه يتعامل بعشواءيه ويستغل حاجه الناس للسكن وباختصار الله حلل البيع وحرم الربا، والسكن مادام انه شيء مادي يباع ويشتري فهو يدخل البيع وليس ربا لان الربا قرض مالي دون مقابل مادي وتضاف فاءده ماليه معينه استرداده,"['البنك', 'الاسلامي', 'اصله', 'انشاه', 'الناس', 'اسسوه', 'قالو', 'البيع', 'بالعقود', 'التجاريه', 'للسلع', 'حلال', 'وبيع', 'المال', 'بالمال', 'حرام', 'وفعلا', 'علي', 'اي', 'منعش', 'عقاري', 'بنك', 'رجل', 'اعمال', 'مال', 'ويريد', 'يقرض', 'الناس', 'وبطريقه', 'حلال', 'فعليه', 'اما', 'يقرضهم', 'المال', 'بدون', 'فاءده', 'يقرضهم', 'مواد', 'معينه', 'كمواد', 'البناء', 'مثلا', 'لمن', 'اراد', 'يبني', 'بيت', 'فاذا', 'كنت', 'تملك', 'ارضا', 'فانه', 'يشتري', 'مواد', 'البناء', 'ويبني', 'ويجهز', 'وانت', 'تدفع', 'الاصل', 'ثمن', 'المواد', 'يربح', 'هامش', 'الربح', 'علي', 'ماده', 'بالاضافه', 'انك', 'تدفع', 'اجر', 'العمال', 'ووفهذا', 'البنك', 'الاسلامي', 'الحقيقي', 'وقع', 'الناس', 'يريدون', 'شقق', 'وليس', 'اراضي', 'فالبنك', 'مضطر', 'يتعامل', 'المنعش', 'العقاري', 'كشريك', 'الحاله', 'فعقد', 'المال', 'المقترض', 'البنك', 'وعقد', 'الشقه', 'المنعش', 'العقاري', 'وبما', 'انك', 'تملك', 'مال', 'لتدفعه', 'مباشره', 'للمنعش', 'فانت', 'تعقد', 'البنك', 'والبنك', 'يعقد', 'المنعش', 'شغلهم', 'هذاك', 'شركاء', 'زلنا', 'بنك', 'اسلامي', 'السؤال', 'البنك', 'يراقب', 'المنعش', 'العقاري', 'ليتاكد', 'الحسابات', 'وهامش', 'الربح', 'الخاص', 'واجر', 'العمال', 'وثمن', 'الارضليكون', 'صادق', 'الزبون', 'ويحترم', 'الصفه', 'الاسلاميه', 'انه', 'يتعامل', 'بعشواءيه', 'ويستغل', 'حاجه', 'الناس', 'للسكن', 'وباختصار', 'الله', 'حلل', 'البيع', 'وحرم', 'الربا،', 'والسكن', 'مادام', 'انه', 'شيء', 'مادي', 'يباع', 'ويشتري', 'فهو', 'يدخل', 'البيع', 'وليس', 'ربا', 'لان', 'الربا', 'قرض', 'مالي', 'دون', 'مقابل', 'مادي', 'وتضاف', 'فاءده', 'ماليه', 'معينه', 'استرداده']"
29666,الواجب شيئ التضامن جميع المتضررين النوع الفساد,neutre,الواجب شيئ التضامن جميع المتضررين النوع الفساد,"['الواجب', 'شيئ', 'التضامن', 'جميع', 'المتضررين', 'النوع', 'الفساد']"
29667,mb7ee اشتركت معك كنتمنا ترده,neutre,mb7ee اشتركت معك كنتمنا ترده,"['mb7ee', 'اشتركت', 'معك', 'كنتمنا', 'ترده']"
29668,السلام عليكم اخي مصطفي شكرا علي المعلومات القيمه كتقدم واتمني الله عز وجل يجعلها ميزان حسناتك السؤال محيرني ماهو دور السلطه المعينه كتمثل الوالي والعامل والباشا والقايد الصلاحيات ديالها دور السلطه المنتخبه كتمثل رئيس الجهه والعمده ورئيس الجماعه والصلاحيات ديالها والفرق بيناتهم,neutre,السلام عليكم اخي مصطفي شكرا علي المعلومات القيمه كتقدم واتمني الله عز وجل يجعلها ميزان حسناتك السؤال محيرني ماهو دور السلطه المعينه كتمثل الوالي والعامل والباشا والقايد الصلاحيات ديالها دور السلطه المنتخبه كتمثل رئيس الجهه والعمده ورئيس الجماعه والصلاحيات ديالها والفرق بيناتهم,"['السلام', 'عليكم', 'اخي', 'مصطفي', 'شكرا', 'علي', 'المعلومات', 'القيمه', 'كتقدم', 'واتمني', 'الله', 'عز', 'وجل', 'يجعلها', 'ميزان', 'حسناتك', 'السؤال', 'محيرني', 'ماهو', 'دور', 'السلطه', 'المعينه', 'كتمثل', 'الوالي', 'والعامل', 'والباشا', 'والقايد', 'الصلاحيات', 'ديالها', 'دور', 'السلطه', 'المنتخبه', 'كتمثل', 'رئيس', 'الجهه', 'والعمده', 'ورئيس', 'الجماعه', 'والصلاحيات', 'ديالها', 'والفرق', 'بيناتهم']"
29669,اشتركت معك كنتمنا تردها,neutre,اشتركت معك كنتمنا تردها,"['اشتركت', 'معك', 'كنتمنا', 'تردها']"
29670,الله انظر حالهم,neutre,الله انظر حالهم,"['الله', 'انظر', 'حالهم']"
29671,خويا مصطفي عفاك عطيني موقع محافظه باش نعرف رقم ثيتر وشكرا,neutre,خويا مصطفي عفاك عطيني موقع محافظه باش نعرف رقم ثيتر وشكرا,"['خويا', 'مصطفي', 'عفاك', 'عطيني', 'موقع', 'محافظه', 'باش', 'نعرف', 'رقم', 'ثيتر', 'وشكرا']"
29672,نفس الطلب فضلك,neutre,نفس الطلب فضلك,"['نفس', 'الطلب', 'فضلك']"
29673,التضامن الضحايا شاء الله يبان الحق,neutre,التضامن الضحايا شاء الله يبان الحق,"['التضامن', 'الضحايا', 'شاء', 'الله', 'يبان', 'الحق']"
29674,جميعا اجل الوعي,neutre,جميعا اجل الوعي,"['جميعا', 'اجل', 'الوعي']"
29675,اخويا ولا النصب بالعلالي,négatif,اخويا ولا النصب بالعلالي,"['اخويا', 'ولا', 'النصب', 'بالعلالي']"
29676,اخيب احساس الواحد يمكن يحسو الشمته مساكن شاء الله حقهم غاياخذوه سواء ولا لهيه,négatif,اخيب احساس الواحد يمكن يحسو الشمته مساكن شاء الله حقهم غاياخذوه سواء ولا لهيه,"['اخيب', 'احساس', 'الواحد', 'يمكن', 'يحسو', 'الشمته', 'مساكن', 'شاء', 'الله', 'حقهم', 'غاياخذوه', 'سواء', 'ولا', 'لهيه']"
29677,ضحايااا ههههه كيقولو مغرب زوين حيت كيجيو اروباا كيتخززو صراحه عجبني فيهم خوناا,négatif,ضحايااا ههههه كيقولو مغرب زوين حيت كيجيو اروباا كيتخززو صراحه عجبني فيهم خوناا,"['ضحايااا', 'ههههه', 'كيقولو', 'مغرب', 'زوين', 'حيت', 'كيجيو', 'اروباا', 'كيتخززو', 'صراحه', 'عجبني', 'فيهم', 'خوناا']"
29678,حشومه عليك تقول هكذاك، كنتي جامع الريال وخوه باش تشري لولادك دارهم المغرب باش يجيو يلقاو راحتهم وما يتقلو علي حد، يجي وينصب عليك باش غتحس المهم الرسول الصلاه والسلام علمنا باش نصليو صلاه استخاره اي حاجه بغينا نشريوها نعملوها لان الله وحده عالم بالخفايا,neutre,حشومه عليك تقول هكذاك، كنتي جامع الريال وخوه باش تشري لولادك دارهم المغرب باش يجيو يلقاو راحتهم وما يتقلو علي حد، يجي وينصب عليك باش غتحس المهم الرسول الصلاه والسلام علمنا باش نصليو صلاه استخاره اي حاجه بغينا نشريوها نعملوها لان الله وحده عالم بالخفايا,"['حشومه', 'عليك', 'تقول', 'هكذاك،', 'كنتي', 'جامع', 'الريال', 'وخوه', 'باش', 'تشري', 'لولادك', 'دارهم', 'المغرب', 'باش', 'يجيو', 'يلقاو', 'راحتهم', 'وما', 'يتقلو', 'علي', 'حد،', 'يجي', 'وينصب', 'عليك', 'باش', 'غتحس', 'المهم', 'الرسول', 'الصلاه', 'والسلام', 'علمنا', 'باش', 'نصليو', 'صلاه', 'استخاره', 'اي', 'حاجه', 'بغينا', 'نشريوها', 'نعملوها', 'لان', 'الله', 'وحده', 'عالم', 'بالخفايا']"
29679,الشمته خايبه هما الله عالم بهم كيتكرفصو باش يجمعوا باش يشريوا صندوق الحياه الاخير كيتنصب عليهم سهلاش حسن عوان الكل,négatif,الشمته خايبه هما الله عالم بهم كيتكرفصو باش يجمعوا باش يشريوا صندوق الحياه الاخير كيتنصب عليهم سهلاش حسن عوان الكل,"['الشمته', 'خايبه', 'هما', 'الله', 'عالم', 'بهم', 'كيتكرفصو', 'باش', 'يجمعوا', 'باش', 'يشريوا', 'صندوق', 'الحياه', 'الاخير', 'كيتنصب', 'عليهم', 'سهلاش', 'حسن', 'عوان', 'الكل']"
29680,والناس اللي مافيا العقار اخذات ليهم ديورهم وهم ساكنين وعاد المهاجر اللي ينزل المغرب يلقي دارو اخذاها اخر كترمي الشارع والقانون اللي دارتوا الحكومه صالح مافيا العقار مكيهمهاش المواطن يضر اولا اهم حاجه الحكومه المافيا تسرق براحتها وتعاون الفاسدين والزوينه الشفار اللي يشري الدار يبقي اشراها بحسن النيه وخي باتفاق مافيا العقار ومول الدار الاصلي يعيش الشارع الحكومه الظالمه دارت قانون للمواطن بانه خاصو يمشي يدير شهاده الملكيه سنين باش يعرف العقار باقي علي اسمو مافيا العقار داتوا والي دازت سنين ومدروش واخذاو ليه العقار هزو الما يعني بلادي ظلموني الظلم والفساد والسرقه جهه وحسبي الله ونعم الوكيل ظالم متعدي اللهم اكفنيهم بما شئت وكيفما شئت اللهم نجعلك نحورهم ونعوذ بك شرورهم اللهم ارنا عجائب قدرتك فيهم,négatif,والناس اللي مافيا العقار اخذات ليهم ديورهم وهم ساكنين وعاد المهاجر اللي ينزل المغرب يلقي دارو اخذاها اخر كترمي الشارع والقانون اللي دارتوا الحكومه صالح مافيا العقار مكيهمهاش المواطن يضر اولا اهم حاجه الحكومه المافيا تسرق براحتها وتعاون الفاسدين والزوينه الشفار اللي يشري الدار يبقي اشراها بحسن النيه وخي باتفاق مافيا العقار ومول الدار الاصلي يعيش الشارع الحكومه الظالمه دارت قانون للمواطن بانه خاصو يمشي يدير شهاده الملكيه سنين باش يعرف العقار باقي علي اسمو مافيا العقار داتوا والي دازت سنين ومدروش واخذاو ليه العقار هزو الما يعني بلادي ظلموني الظلم والفساد والسرقه جهه وحسبي الله ونعم الوكيل ظالم متعدي اللهم اكفنيهم بما شئت وكيفما شئت اللهم نجعلك نحورهم ونعوذ بك شرورهم اللهم ارنا عجائب قدرتك فيهم,"['والناس', 'اللي', 'مافيا', 'العقار', 'اخذات', 'ليهم', 'ديورهم', 'وهم', 'ساكنين', 'وعاد', 'المهاجر', 'اللي', 'ينزل', 'المغرب', 'يلقي', 'دارو', 'اخذاها', 'اخر', 'كترمي', 'الشارع', 'والقانون', 'اللي', 'دارتوا', 'الحكومه', 'صالح', 'مافيا', 'العقار', 'مكيهمهاش', 'المواطن', 'يضر', 'اولا', 'اهم', 'حاجه', 'الحكومه', 'المافيا', 'تسرق', 'براحتها', 'وتعاون', 'الفاسدين', 'والزوينه', 'الشفار', 'اللي', 'يشري', 'الدار', 'يبقي', 'اشراها', 'بحسن', 'النيه', 'وخي', 'باتفاق', 'مافيا', 'العقار', 'ومول', 'الدار', 'الاصلي', 'يعيش', 'الشارع', 'الحكومه', 'الظالمه', 'دارت', 'قانون', 'للمواطن', 'بانه', 'خاصو', 'يمشي', 'يدير', 'شهاده', 'الملكيه', 'سنين', 'باش', 'يعرف', 'العقار', 'باقي', 'علي', 'اسمو', 'مافيا', 'العقار', 'داتوا', 'والي', 'دازت', 'سنين', 'ومدروش', 'واخذاو', 'ليه', 'العقار', 'هزو', 'الما', 'يعني', 'بلادي', 'ظلموني', 'الظلم', 'والفساد', 'والسرقه', 'جهه', 'وحسبي', 'الله', 'ونعم', 'الوكيل', 'ظالم', 'متعدي', 'اللهم', 'اكفنيهم', 'بما', 'شئت', 'وكيفما', 'شئت', 'اللهم', 'نجعلك', 'نحورهم', 'ونعوذ', 'بك', 'شرورهم', 'اللهم', 'ارنا', 'عجائب', 'قدرتك', 'فيهم']"
29681,السيد كيتصرف ببروده دم لانه عارف بلي غادي يحتاج يدفع رشوه باش ياخد عقوبه سجنيه مخففه عشر سنين علي الاكثر وماشي بعيد يدفع رشوه ثاني لمدير السجن باش يقيد سميتو فلائحه المستفيدين العفو وفالاخير غتلقاه خرج الحبس فاقل خمس سنين,négatif,السيد كيتصرف ببروده دم لانه عارف بلي غادي يحتاج يدفع رشوه باش ياخد عقوبه سجنيه مخففه عشر سنين علي الاكثر وماشي بعيد يدفع رشوه ثاني لمدير السجن باش يقيد سميتو فلائحه المستفيدين العفو وفالاخير غتلقاه خرج الحبس فاقل خمس سنين,"['السيد', 'كيتصرف', 'ببروده', 'دم', 'لانه', 'عارف', 'بلي', 'غادي', 'يحتاج', 'يدفع', 'رشوه', 'باش', 'ياخد', 'عقوبه', 'سجنيه', 'مخففه', 'عشر', 'سنين', 'علي', 'الاكثر', 'وماشي', 'بعيد', 'يدفع', 'رشوه', 'ثاني', 'لمدير', 'السجن', 'باش', 'يقيد', 'سميتو', 'فلائحه', 'المستفيدين', 'العفو', 'وفالاخير', 'غتلقاه', 'خرج', 'الحبس', 'فاقل', 'خمس', 'سنين']"
29682,السلام عليكم خويا الولاد والبنات المدينه لفيها المرض كورونا الصين خطر كولشي خرجو الناس بلادهم الا المغاربه معندهم الله,négatif,السلام عليكم خويا الولاد والبنات المدينه لفيها المرض كورونا الصين خطر كولشي خرجو الناس بلادهم الا المغاربه معندهم الله,"['السلام', 'عليكم', 'خويا', 'الولاد', 'والبنات', 'المدينه', 'لفيها', 'المرض', 'كورونا', 'الصين', 'خطر', 'كولشي', 'خرجو', 'الناس', 'بلادهم', 'الا', 'المغاربه', 'معندهم', 'الله']"
29683,الفورمه الجديده اللي وليتي تادير مخيره تاتخليك ديما اجور,neutre,الفورمه الجديده اللي وليتي تادير مخيره تاتخليك ديما اجور,"['الفورمه', 'الجديده', 'اللي', 'وليتي', 'تادير', 'مخيره', 'تاتخليك', 'ديما', 'اجور']"
29684,cher mustaphala vrit ailleurs,neutre,cher mustaphala vrit ailleurs,"['cher', 'mustaphala', 'vrit', 'ailleurs']"
29685,بغيتك دوي علي قضيه اكديم ازيك وقع ليهم نفس قضيه,neutre,بغيتك دوي علي قضيه اكديم ازيك وقع ليهم نفس قضيه,"['بغيتك', 'دوي', 'علي', 'قضيه', 'اكديم', 'ازيك', 'وقع', 'ليهم', 'نفس', 'قضيه']"
29686,اخي مصطفي الفيديو واعر بزاف خاصو يطلع الطوندوس باش الناس تستافد، عافاك عاود دير فيديو اخر شرح لينا اكثر قانون العقار حيت تنفكر نشري شقه السكن الاقتصادي خفت نتصيد,positif,اخي مصطفي الفيديو واعر بزاف خاصو يطلع الطوندوس باش الناس تستافد، عافاك عاود دير فيديو اخر شرح لينا اكثر قانون العقار حيت تنفكر نشري شقه السكن الاقتصادي خفت نتصيد,"['اخي', 'مصطفي', 'الفيديو', 'واعر', 'بزاف', 'خاصو', 'يطلع', 'الطوندوس', 'باش', 'الناس', 'تستافد،', 'عافاك', 'عاود', 'دير', 'فيديو', 'اخر', 'شرح', 'لينا', 'اكثر', 'قانون', 'العقار', 'حيت', 'تنفكر', 'نشري', 'شقه', 'السكن', 'الاقتصادي', 'خفت', 'نتصيد']"
29687,ta7yati ltma3aaa,positif,ta7yati ltma3aaa,"['ta7yati', 'ltma3aaa']"
29688,شكرا تنشر صلب الحقيقه,positif,شكرا تنشر صلب الحقيقه,"['شكرا', 'تنشر', 'صلب', 'الحقيقه']"
29689,المغرب بقاش تقه النصب، الخداع، التحرميات المشكله الشي يعلموه للبز صغير الله يستر صافي,négatif,المغرب بقاش تقه النصب، الخداع، التحرميات المشكله الشي يعلموه للبز صغير الله يستر صافي,"['المغرب', 'بقاش', 'تقه', 'النصب،', 'الخداع،', 'التحرميات', 'المشكله', 'الشي', 'يعلموه', 'للبز', 'صغير', 'الله', 'يستر', 'صافي']"
29690,ناس كيخترعو العجب وهذو نهار كيخترعو القوالب السكاكريه,négatif,ناس كيخترعو العجب وهذو نهار كيخترعو القوالب السكاكريه,"['ناس', 'كيخترعو', 'العجب', 'وهذو', 'نهار', 'كيخترعو', 'القوالب', 'السكاكريه']"
29691,ممكن تدير لينا حلقه علي نضام الباكالوريوس,neutre,ممكن تدير لينا حلقه علي نضام الباكالوريوس,"['ممكن', 'تدير', 'لينا', 'حلقه', 'علي', 'نضام', 'الباكالوريوس']"
29692,زعمي فراسكش خون خدم عقلك رجع الفيديو تصريح رئيس الحكومه,neutre,زعمي فراسكش خون خدم عقلك رجع الفيديو تصريح رئيس الحكومه,"['زعمي', 'فراسكش', 'خون', 'خدم', 'عقلك', 'رجع', 'الفيديو', 'تصريح', 'رئيس', 'الحكومه']"
29693,تخلعت بغيت نعرف نور سكن فمراكش مزيانه زعما تهما كينصبو,neutre,تخلعت بغيت نعرف نور سكن فمراكش مزيانه زعما تهما كينصبو,"['تخلعت', 'بغيت', 'نعرف', 'نور', 'سكن', 'فمراكش', 'مزيانه', 'زعما', 'تهما', 'كينصبو']"
29694,برافو سي مصطفي الله يعطيك الصحه وينورك زمن التفاهه امثالك قلائل كانقتارح عليك تدير لينا حلقه علي كريديات السيارات لان حتي كيوقع النصب بزاف وشكرا,positif,برافو سي مصطفي الله يعطيك الصحه وينورك زمن التفاهه امثالك قلائل كانقتارح عليك تدير لينا حلقه علي كريديات السيارات لان حتي كيوقع النصب بزاف وشكرا,"['برافو', 'سي', 'مصطفي', 'الله', 'يعطيك', 'الصحه', 'وينورك', 'زمن', 'التفاهه', 'امثالك', 'قلائل', 'كانقتارح', 'عليك', 'تدير', 'لينا', 'حلقه', 'علي', 'كريديات', 'السيارات', 'لان', 'حتي', 'كيوقع', 'النصب', 'بزاف', 'وشكرا']"
29695,باختصار نظام عصابات ينهب ثروات البلاد وجيوب الشعب الداخل وامتدت يده حتي الفارين الخارج امن ولا امان حراس الزريبه,négatif,باختصار نظام عصابات ينهب ثروات البلاد وجيوب الشعب الداخل وامتدت يده حتي الفارين الخارج امن ولا امان حراس الزريبه,"['باختصار', 'نظام', 'عصابات', 'ينهب', 'ثروات', 'البلاد', 'وجيوب', 'الشعب', 'الداخل', 'وامتدت', 'يده', 'حتي', 'الفارين', 'الخارج', 'امن', 'ولا', 'امان', 'حراس', 'الزريبه']"
29696,خويا مصطفي تكلم لينا علي البكالوريوس غايديرو لينا عامرا خاويا,neutre,خويا مصطفي تكلم لينا علي البكالوريوس غايديرو لينا عامرا خاويا,"['خويا', 'مصطفي', 'تكلم', 'لينا', 'علي', 'البكالوريوس', 'غايديرو', 'لينا', 'عامرا', 'خاويا']"
29697,خويا مصطفي حلمت بيك صايبت فيلم مغربي حقق نجاح عالمي,neutre,خويا مصطفي حلمت بيك صايبت فيلم مغربي حقق نجاح عالمي,"['خويا', 'مصطفي', 'حلمت', 'بيك', 'صايبت', 'فيلم', 'مغربي', 'حقق', 'نجاح', 'عالمي']"
29698,خويا مصطفي بغيتك تهضر لينا علي النصابه فوركس منهم يوسف الفارسيx000d اللي نصب علي اكتر 2200 شخص ب3300 درهم غروب التوصيات الخاطئه باش يربح الشركه الفوركس اللي متافق معهاx000d باقي كنصب علي المغاربه اللي معرفينش,négatif,خويا مصطفي بغيتك تهضر لينا علي النصابه فوركس منهم يوسف الفارسيx000d اللي نصب علي اكتر 2200 شخص ب3300 درهم غروب التوصيات الخاطئه باش يربح الشركه الفوركس اللي متافق معهاx000d باقي كنصب علي المغاربه اللي معرفينش,"['خويا', 'مصطفي', 'بغيتك', 'تهضر', 'لينا', 'علي', 'النصابه', 'فوركس', 'منهم', 'يوسف', 'الفارسيx000d', 'اللي', 'نصب', 'علي', 'اكتر', '2200', 'شخص', 'ب3300', 'درهم', 'غروب', 'التوصيات', 'الخاطئه', 'باش', 'يربح', 'الشركه', 'الفوركس', 'اللي', 'متافق', 'معهاx000d', 'باقي', 'كنصب', 'علي', 'المغاربه', 'اللي', 'معرفينش']"
29699,وشكرا ليك,positif,وشكرا ليك,"['وشكرا', 'ليك']"
29700,الله اكثر مثالك اسي سوينكا,positif,الله اكثر مثالك اسي سوينكا,"['الله', 'اكثر', 'مثالك', 'اسي', 'سوينكا']"
29701,one اشتركت معك كنتمنا ترده,neutre,one اشتركت معك كنتمنا ترده,"['one', 'اشتركت', 'معك', 'كنتمنا', 'ترده']"
29702,الاخ مصطفي تحياتي الفيديو كيستاهل كتر جيم شكرا والاخوان معاك علي هد المجهود,positif,الاخ مصطفي تحياتي الفيديو كيستاهل كتر جيم شكرا والاخوان معاك علي هد المجهود,"['الاخ', 'مصطفي', 'تحياتي', 'الفيديو', 'كيستاهل', 'كتر', 'جيم', 'شكرا', 'والاخوان', 'معاك', 'علي', 'هد', 'المجهود']"
29703,hal al mal halal azakate ida a7aba allah 3abdan ibtalah,positif,hal al mal halal azakate ida a7aba allah 3abdan ibtalah,"['hal', 'al', 'mal', 'halal', 'azakate', 'ida', 'a7aba', 'allah', '3abdan', 'ibtalah']"
29704,bravooo,positif,bravooo,['bravooo']
